56;건강서울페스티벌 2019;1;서울시청 광장(서울 중구 을지로 12);;;http://tong.visitkorea.or.kr/cms/resource/04/2613904_image2_1.jpg;Y;190922;190922;0;0;0;fe
57;건어물맥주축제 2019;1;서울특별시 중구 을지로36길 35;;;http://tong.visitkorea.or.kr/cms/resource/60/2557960_image2_1.jpg;Y;190920;190920;0;0;0;fe
58;걷자,도심보행길! 2019;1;서울특별시 종로구 세종대로;(세종로);;http://tong.visitkorea.or.kr/cms/resource/93/2600793_image2_1.jpg;Y;190512;191013;0;0;0;fe
59;겨울공주 군밤축제 2020;34;충청남도 공주시 고마나루길 90;(웅진동);;http://tong.visitkorea.or.kr/cms/resource/45/2641145_image2_1.png;Y;200110;200112;0;0;0;fe
60;겨울왕국제천 페스티벌 2020;33;충청북도 제천시 의림대로14길 4 제천 시내 및 의림지 일원;;;http://tong.visitkorea.or.kr/cms/resource/68/2637668_image2_1.jpg;Y;191220;200127;0;0;0;fe
61;견우직녀 축제 2019;3;대전광역시 서구 둔산대로 169;(만년동);;http://tong.visitkorea.or.kr/cms/resource/89/2613789_image2_1.jpg;Y;190802;190804;0;0;0;fe
62;경기 다독다독 축제 2019;31;경기도 의정부시 청사로 1;(신곡동);;http://tong.visitkorea.or.kr/cms/resource/84/2599384_image2_1.jpg;Y;190601;190601;0;0;0;fe
63;경기과학축전 & 수원정보과학축제 2019;31;경기도 수원시 영통구 광교중앙로 140;(하동);;http://tong.visitkorea.or.kr/cms/resource/41/2614141_image2_1.JPG;Y;191018;191019;0;0;0;fe
64;경기과학축전 & 안양사이버과학축제 2019;31;경기도 안양시 동안구 평촌대로 389;(비산동);;http://tong.visitkorea.or.kr/cms/resource/01/2601401_image2_1.jpg;Y;190608;190609;0;0;0;fe
65;경기도자페어 2019;1;서울특별시 서초구 강남대로 27;;;http://tong.visitkorea.or.kr/cms/resource/65/2553365_image2_1.JPG;Y;191205;191208;0;0;0;fe
66;경기인형극제 in Suwon 2019;31;경기도 수원시 팔달구 효원로307번길 20;(인계동);;http://tong.visitkorea.or.kr/cms/resource/13/2547913_image2_1.JPG;Y;190717;190726;0;0;0;fe
67;경기전 사람들 - 이야기술사 2020;37;전라북도 전주시 완산구 한지길 102;(풍남동3가);;http://tong.visitkorea.or.kr/cms/resource/77/2659777_image2_1.jpg;Y;200606;201031;0;0;0;fe
68;경기전 수복청 상설공연 2020;37;전라북도 전주시 완산구 한지길 102;(풍남동3가);;http://tong.visitkorea.or.kr/cms/resource/03/2659803_image2_1.jpg;Y;200606;201101;0;0;0;fe
69;경남 만화·웹툰 페스티벌 2019;36;경상남도 창원시 의창구 충혼로 91;(두대동);;http://tong.visitkorea.or.kr/cms/resource/78/2633478_image2_1.png;Y;191108;191109;0;0;0;fe
70;경남고성공룡세계엑스포 2020;36;경상남도 고성군 회화면 당항만로 1116;;;http://tong.visitkorea.or.kr/cms/resource/50/2649150_image2_1.jpg;Y;200918;201108;0;0;0;fe
71;경복궁 야간 특별관람 2020;1;서울특별시 종로구 사직로 161;(세종로);;http://tong.visitkorea.or.kr/cms/resource/01/2512001_image2_1.jpg;Y;200902;201031;0;0;0;fe
72;경복궁 자경전 다례체험행사 2019;1;서울특별시 종로구 사직로 161;(세종로);;http://tong.visitkorea.or.kr/cms/resource/34/868734_image2_1.jpg;Y;191009;191020;0;0;0;fe
73;경복궁 주·야간 전통공연 「고궁음악회」2019;1;서울특별시 종로구 사직로 161;(세종로);;http://tong.visitkorea.or.kr/cms/resource/64/1666364_image2_1.jpg;Y;190427;191027;0;0;0;fe
74;경북사과홍보행사 2019;1;서울특별시 중구 세종대로 110 서울광장;;;http://tong.visitkorea.or.kr/cms/resource/35/2622135_image2_1.jpg;Y;191105;191107;0;0;0;fe
75;경북영주 풍기인삼축제 2020;35;경상북도 영주시 풍기읍 봉현면 오현리;;;http://tong.visitkorea.or.kr/cms/resource/44/1723644_image2_1.jpg;Y;201009;201018;0;0;0;fe
76;경북착한사과 페스티벌 2019;1;서울특별시 중구 세종대로 110;;;http://tong.visitkorea.or.kr/cms/resource/17/2560517_image2_1.jpg;Y;191105;191107;0;0;0;fe
77;경주 프리마켓 봉황장터 2019;35;경상북도 경주시 봉황로 33-1;(노서동);;http://tong.visitkorea.or.kr/cms/resource/94/2505694_image2_1.jpg;Y;190101;191231;0;0;0;fe
78;경주국악여행 2019;35;경상북도 경주시 보문로 338;(신평동);;http://tong.visitkorea.or.kr/cms/resource/50/2611050_image2_1.jpg;Y;190407;190921;0;0;0;fe
79;경포 썸머댕댕런 2019;32;강원도 강릉시 초당동 459-28;;;http://tong.visitkorea.or.kr/cms/resource/84/2605784_image2_1.jpg;Y;190817;190817;0;0;0;fe
80;경포 썸머페스티벌 2019;32;강원도 강릉시 강문동;;;http://tong.visitkorea.or.kr/cms/resource/48/2394548_image2_1.JPG;Y;190729;190804;0;0;0;fe
81;경포 해넘이, 해맞이 축제 2020;32;강원도 강릉시 창해로 514;(안현동);;http://tong.visitkorea.or.kr/cms/resource/93/2576593_image2_1.jpg;Y;191231;200101;0;0;0;fe
82;계촌마을 클래식 거리축제 2019;32;강원도 평창군 방림면 계촌길 63;;;http://tong.visitkorea.or.kr/cms/resource/19/2609619_image2_1.JPG;Y;190815;190817;0;0;0;fe
83;고니골빛축제 2019;32;강원도 원주시 호저면 호저로 1277-43;;;http://tong.visitkorea.or.kr/cms/resource/91/2631391_image2_1.jpg;Y;191115;200216;0;0;0;fe
84;고려인삼 페스티벌 '우리라서 삼, 좋다' 2019;1;서울특별시 용산구 남산공원길 105 남산서울타워 1층 광장;;;http://tong.visitkorea.or.kr/cms/resource/50/2617050_image2_1.jpg;Y;190921;190922;0;0;0;fe
85;고령 대가야 달빛상점 2019;35;경상북도 고령군 대가야읍 신남로 81;;;http://tong.visitkorea.or.kr/cms/resource/74/2631374_image2_1.jpg;Y;191101;191116;0;0;0;fe
86;고성 하늬라벤더팜 라벤더축제 2020;32;강원도 고성군 간성읍 꽃대마을길 175;;;http://tong.visitkorea.or.kr/cms/resource/42/2495742_image2_1.jpg;Y;200601;200623;0;0;0;fe
87;고성 DMZ 크리스마스 페스티벌 2019;32;강원도 고성군 현내면 명파4길 44;;;http://tong.visitkorea.or.kr/cms/resource/13/2641113_image2_1.jpg;Y;191221;191222;0;0;0;fe
88;고성통일명태축제 2019;32;강원도 고성군 거진읍 해오름해변길 125;;;http://tong.visitkorea.or.kr/cms/resource/97/2621897_image2_1.jpg;Y;191017;191020;0;0;0;fe
89;고스트파크 2019;36;경상남도 합천군 용주면 합천호수로 757;;;http://tong.visitkorea.or.kr/cms/resource/80/2497880_image2_1.jpg;Y;190726;190818;0;0;0;fe
90;고양가을꽃축제 2019;31;경기도 고양시 일산동구 호수로 595;;;http://tong.visitkorea.or.kr/cms/resource/62/2614562_image2_1.jpg;Y;190928;191013;0;0;0;fe
91;고양국제꽃박람회 2020;31;경기도 고양시 일산동구 호수로 595;;;http://tong.visitkorea.or.kr/cms/resource/80/2601280_image2_1.jpg;Y;200925;201011;0;0;0;fe
92;고양호수예술축제 2020;31;경기도 고양시 일산동구 호수로 595;;;http://tong.visitkorea.or.kr/cms/resource/61/2654161_image2_1.JPG;Y;200924;200927;0;0;0;fe
