;국립김해박물관 설맞이 전통문화행사 2020;36;경상남도 김해시 가야의길 190;(구산동);128.8734583601;35.2430235419;;http://tong.visitkorea.or.kr/cms/resource/08/882908_image2_1.jpg;Y;20200124;20200127;0;0;0;fe
;국립대구박물관 설맞이 문화행사 2020;4;대구광역시 수성구 청호로 321;(황금동);128.6378790585;35.8456846315;;;Y;20200124;20200127;0;0;0;fe
;국립민속박물관 우리민속한마당;1;서울특별시 종로구 삼청로 37;(세종로);126.9788705506;37.5819663482;;;Y;20200101;20201231;0;0;0;fe
;국립부여박물관 설맞이 어울마당 2020;34;충청남도 부여군 부여읍 금성로 5;(부여읍);126.9189645227;36.2763825813;;http://tong.visitkorea.or.kr/cms/resource/69/1598869_image2_1.jpg;Y;20200124;20200127;0;0;0;fe
;국립전주박물관 설 대보름 맞이 문화축전 2020;37;전라북도 전주시 완산구 쑥고개로 249;(효자동2가);127.0897200882;35.8013230910;;http://tong.visitkorea.or.kr/cms/resource/80/2589280_image2_1.jpg;Y;20200124;20200208;0;0;0;fe
;국립진주박물관 설맞이 문화행사 2020;36;경상남도 진주시 남강로 626-35;(남성동);128.0768878142;35.1889652253;;http://tong.visitkorea.or.kr/cms/resource/03/211603_image2_1.jpg;Y;20200124;20200127;0;0;0;fe
;국립춘천박물관 입춘·설·대보름 맞이 우리문화 한마당 2020;32;강원도 춘천시 우석로 70;(석사동);127.7537834602;37.8640310702;;http://tong.visitkorea.or.kr/cms/resource/51/484551_image2_1.jpg;Y;20200124;20200127;0;0;0;fe
;국제뿌리산업전시회 2020;5;광주광역시 서구 상무누리로 30;(치평동);126.8405588979;35.1467180358;;http://tong.visitkorea.or.kr/cms/resource/13/2549813_image2_1.JPG;Y;20200709;20200711;0;0;0;fe
;국제전기자동차엑스포 2020;39;제주특별자치도 서귀포시 중문관광로 224;(중문동);126.4245292209;33.2413184587;;http://tong.visitkorea.or.kr/cms/resource/50/2478250_image2_1.png;Y;20200617;20200620;0;0;0;fe
;국제차문화대전 2020;1;서울특별시 강남구 영동대로 513;(삼성동);127.0594124394;37.5112648981;;;Y;20200716;20200719;0;0;0;fe
;국제현대무용제(MODAFE) 2020;1;서울특별시 종로구 대학로10길 15-15 해안빌딩 602호;;127.0028600144;37.5825333800;;http://tong.visitkorea.or.kr/cms/resource/42/2655042_image2_1.jpg;Y;20200514;20200529;0;0;0;fe
;국토정중앙 양구 배꼽축제 2020;32;강원도 양구군 양구읍 박수근로 366-33;;127.9814637917;38.1062154905;;http://tong.visitkorea.or.kr/cms/resource/15/2609115_image2_1.jpg;Y;20200731;20200802;0;0;0;fe
;군산시간여행축제 2020;37;전라북도 군산시 중앙로 178;;126.7117267503;35.9877620079;;http://tong.visitkorea.or.kr/cms/resource/50/2530450_image2_1.jpg;Y;20201009;20201011;0;0;0;fe
;궁디팡팡 캣페스타 2020;1;서울특별시 서초구 강남대로 27;(양재동);127.0390127336;37.4683111849;;http://tong.visitkorea.or.kr/cms/resource/95/2659595_image2_1.jpg;Y;20200619;20200621;0;0;0;fe
;궁중문화축전 2020;1;서울특별시 종로구 사직로 161;;126.9769930325;37.5788222356;;http://tong.visitkorea.or.kr/cms/resource/93/2648093_image2_1.jpg;Y;20201010;20201018;0;0;0;fe
;금산 인삼축제 2020;34;충청남도 금산군 금산읍 인삼광장로 30;;127.5012088646;36.1001573782;;http://tong.visitkorea.or.kr/cms/resource/58/2620958_image2_1.jpg;Y;20201009;20201018;0;0;0;fe
;김포 음악불꽃크루즈 2020;31;경기도 김포시 고촌읍 아라육로270번길 74;;126.7871209331;37.5976583182;;http://tong.visitkorea.or.kr/cms/resource/64/2585564_image2_1.jpg;Y;20200104;20201231;0;0;0;fe
;김해 문화재야행 2020;36;경상남도 김해시 가락로93번길 26;;128.8772665825;35.2349050783;;http://tong.visitkorea.or.kr/cms/resource/15/2605815_image2_1.jpg;Y;20201009;20201011;0;0;0;fe
;김해 세계크리스마스 문화축제 2019;36;경상남도 김해시 동상동 종로길 일원;;128.8834882088;35.2368660834;;http://tong.visitkorea.or.kr/cms/resource/60/2640860_image2_1.jpg;Y;20191207;20200105;0;0;0;fe
;나를 사랑한 버스커 축제 2020;4;대구광역시 중구 달구벌대로 2232;;128.6073979595;35.8618461284;;http://tong.visitkorea.or.kr/cms/resource/79/2659979_image2_1.jpg;Y;20200627;20200627;0;0;0;fe
